"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 30 18:28:35 GMT 2021","Fri Jul 30 18:29:26 GMT 2021","50511","testproject.pytests","blog_post_test","","","","test_new_blog",""
"passed","Fri Jul 30 18:32:48 GMT 2021","Fri Jul 30 18:33:13 GMT 2021","24674","testproject.pytests","test_registration_pom","","","","test_registration",""
"passed","Fri Jul 30 18:33:30 GMT 2021","Fri Jul 30 18:33:43 GMT 2021","12895","testproject.pytests","test_registration_pom","","","","test_reg_validators2",""
"passed","Fri Jul 30 18:33:13 GMT 2021","Fri Jul 30 18:33:30 GMT 2021","16715","testproject.pytests","test_registration_pom","","","","test_reg_validators1",""
"passed","Fri Jul 30 18:33:43 GMT 2021","Fri Jul 30 18:34:11 GMT 2021","27995","testproject.pytests","test_registration_pom","","","","test_reg_validators3",""
"passed","Fri Jul 30 18:31:32 GMT 2021","Fri Jul 30 18:32:06 GMT 2021","34197","testproject.pytests","login_validators_test","","","","test_login_validator3",""
"passed","Fri Jul 30 18:31:11 GMT 2021","Fri Jul 30 18:31:32 GMT 2021","20568","testproject.pytests","login_validators_test","","","","test_login_validator2",""
"passed","Fri Jul 30 18:29:26 GMT 2021","Fri Jul 30 18:30:21 GMT 2021","55273","testproject.pytests","blog_post_test","","","","test_mod_and_del_blog",""
"passed","Fri Jul 30 18:30:21 GMT 2021","Fri Jul 30 18:30:27 GMT 2021","5926","testproject.pytests","homepage_test","","","","test_homepage_without_login",""
"passed","Fri Jul 30 18:30:55 GMT 2021","Fri Jul 30 18:31:11 GMT 2021","15824","testproject.pytests","login_validators_test","","","","test_login_validator1",""
"passed","Fri Jul 30 18:32:06 GMT 2021","Fri Jul 30 18:32:27 GMT 2021","20888","testproject.pytests","logout_test","","","","test_logout",""
"passed","Fri Jul 30 18:30:27 GMT 2021","Fri Jul 30 18:30:55 GMT 2021","28371","testproject.pytests","login_test","","","","test_successful_login",""
"passed","Fri Jul 30 18:32:28 GMT 2021","Fri Jul 30 18:32:48 GMT 2021","19975","testproject.pytests","test_cookie","TestCookie","","","test_cookie",""
