"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 06 15:37:56 GMT 2021","Mon Sep 06 15:38:25 GMT 2021","28122","testproject.pytests","test_registration_pom","","","","test_reg_validators3",""
"passed","Mon Sep 06 15:36:41 GMT 2021","Mon Sep 06 15:37:02 GMT 2021","20863","testproject.pytests","test_logout","","","","test_logout",""
"passed","Mon Sep 06 15:36:07 GMT 2021","Mon Sep 06 15:36:19 GMT 2021","11611","testproject.pytests","test_login_validators","","","","test_login_validator2",""
"passed","Mon Sep 06 15:36:19 GMT 2021","Mon Sep 06 15:36:41 GMT 2021","22215","testproject.pytests","test_login_validators","","","","test_login_validator3",""
"passed","Mon Sep 06 15:34:33 GMT 2021","Mon Sep 06 15:34:46 GMT 2021","13318","testproject.pytests","test_blog_post","","","","test_new_blog",""
"passed","Mon Sep 06 15:37:02 GMT 2021","Mon Sep 06 15:37:27 GMT 2021","24816","testproject.pytests","test_registration_pom","","","","test_registration",""
"passed","Mon Sep 06 15:37:43 GMT 2021","Mon Sep 06 15:37:56 GMT 2021","12922","testproject.pytests","test_registration_pom","","","","test_reg_validators2",""
"passed","Mon Sep 06 15:35:30 GMT 2021","Mon Sep 06 15:35:36 GMT 2021","5911","testproject.pytests","test_homepage","","","","test_homepage_without_login",""
"broken","Mon Sep 06 15:35:18 GMT 2021","Mon Sep 06 15:35:30 GMT 2021","11817","testproject.pytests","test_cookie","TestCookie","","","test_cookie",""
"passed","Mon Sep 06 15:34:46 GMT 2021","Mon Sep 06 15:35:16 GMT 2021","30006","testproject.pytests","test_blog_post","","","","test_mod_and_del_blog",""
"passed","Mon Sep 06 15:38:25 GMT 2021","Mon Sep 06 15:39:03 GMT 2021","38629","testproject.pytests","test_tag","","","","test_tags",""
"passed","Mon Sep 06 15:35:36 GMT 2021","Mon Sep 06 15:35:57 GMT 2021","21470","testproject.pytests","test_login","","","","test_successful_login",""
"passed","Mon Sep 06 15:35:57 GMT 2021","Mon Sep 06 15:36:07 GMT 2021","9863","testproject.pytests","test_login_validators","","","","test_login_validator1",""
"passed","Mon Sep 06 15:37:27 GMT 2021","Mon Sep 06 15:37:43 GMT 2021","16724","testproject.pytests","test_registration_pom","","","","test_reg_validators1",""
"passed","Mon Sep 06 15:39:03 GMT 2021","Mon Sep 06 15:39:25 GMT 2021","22269","testproject.pytests","test_user_profile","","","","test_user_profile",""
