"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 06 15:08:37 GMT 2021","Mon Sep 06 15:09:16 GMT 2021","39037","testproject.pytests","test_tag","","","","test_tags",""
"broken","Mon Sep 06 15:05:30 GMT 2021","Mon Sep 06 15:05:42 GMT 2021","11894","testproject.pytests","test_cookie","TestCookie","","","test_cookie",""
"passed","Mon Sep 06 15:05:48 GMT 2021","Mon Sep 06 15:06:09 GMT 2021","21605","testproject.pytests","test_login","","","","test_successful_login",""
"passed","Mon Sep 06 15:07:39 GMT 2021","Mon Sep 06 15:07:56 GMT 2021","16813","testproject.pytests","test_registration_pom","","","","test_reg_validators1",""
"passed","Mon Sep 06 15:04:46 GMT 2021","Mon Sep 06 15:04:58 GMT 2021","12331","testproject.pytests","test_blog_post","","","","test_new_blog",""
"passed","Mon Sep 06 15:05:42 GMT 2021","Mon Sep 06 15:05:48 GMT 2021","5942","testproject.pytests","test_homepage","","","","test_homepage_without_login",""
"passed","Mon Sep 06 15:06:19 GMT 2021","Mon Sep 06 15:06:31 GMT 2021","11649","testproject.pytests","test_login_validators","","","","test_login_validator2",""
"passed","Mon Sep 06 15:04:58 GMT 2021","Mon Sep 06 15:05:28 GMT 2021","30058","testproject.pytests","test_blog_post","","","","test_mod_and_del_blog",""
"passed","Mon Sep 06 15:07:56 GMT 2021","Mon Sep 06 15:08:09 GMT 2021","12906","testproject.pytests","test_registration_pom","","","","test_reg_validators2",""
"passed","Mon Sep 06 15:06:09 GMT 2021","Mon Sep 06 15:06:19 GMT 2021","9940","testproject.pytests","test_login_validators","","","","test_login_validator1",""
"passed","Mon Sep 06 15:09:16 GMT 2021","Mon Sep 06 15:09:38 GMT 2021","22372","testproject.pytests","test_user_profile","","","","test_user_profile",""
"passed","Mon Sep 06 15:06:53 GMT 2021","Mon Sep 06 15:07:14 GMT 2021","20924","testproject.pytests","test_logout","","","","test_logout",""
"passed","Mon Sep 06 15:07:14 GMT 2021","Mon Sep 06 15:07:39 GMT 2021","24812","testproject.pytests","test_registration_pom","","","","test_registration",""
"passed","Mon Sep 06 15:06:31 GMT 2021","Mon Sep 06 15:06:53 GMT 2021","22298","testproject.pytests","test_login_validators","","","","test_login_validator3",""
"passed","Mon Sep 06 15:08:09 GMT 2021","Mon Sep 06 15:08:37 GMT 2021","28099","testproject.pytests","test_registration_pom","","","","test_reg_validators3",""
