"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 01 14:31:25 GMT 2021","Sun Aug 01 14:31:46 GMT 2021","20988","testproject.pytests","logout_test","","","","test_logout",""
"passed","Sun Aug 01 14:32:28 GMT 2021","Sun Aug 01 14:32:48 GMT 2021","19748","testproject.pytests","test_cookie","TestCookie","","","test_cookie",""
"passed","Sun Aug 01 14:32:48 GMT 2021","Sun Aug 01 14:33:09 GMT 2021","21206","testproject.pytests","test_login","","","","test_successful_login",""
"passed","Sun Aug 01 14:34:34 GMT 2021","Sun Aug 01 14:34:46 GMT 2021","12844","testproject.pytests","test_registration_pom","","","","test_reg_validators2",""
"passed","Sun Aug 01 14:33:19 GMT 2021","Sun Aug 01 14:33:30 GMT 2021","11530","testproject.pytests","test_login_validators","","","","test_login_validator2",""
"passed","Sun Aug 01 14:34:46 GMT 2021","Sun Aug 01 14:35:14 GMT 2021","27871","testproject.pytests","test_registration_pom","","","","test_reg_validators3",""
"passed","Sun Aug 01 14:31:19 GMT 2021","Sun Aug 01 14:31:25 GMT 2021","5790","testproject.pytests","homepage_test","","","","test_homepage_without_login",""
"passed","Sun Aug 01 14:33:09 GMT 2021","Sun Aug 01 14:33:19 GMT 2021","9715","testproject.pytests","test_login_validators","","","","test_login_validator1",""
"passed","Sun Aug 01 14:33:52 GMT 2021","Sun Aug 01 14:34:17 GMT 2021","24566","testproject.pytests","test_registration_pom","","","","test_registration",""
"passed","Sun Aug 01 14:31:57 GMT 2021","Sun Aug 01 14:32:27 GMT 2021","29343","testproject.pytests","test_blog_post","","","","test_mod_and_del_blog",""
"failed","Sun Aug 01 14:35:14 GMT 2021","Sun Aug 01 14:35:24 GMT 2021","9752","testproject.pytests","test_user_profile","","","","test_user_profile",""
"passed","Sun Aug 01 14:34:17 GMT 2021","Sun Aug 01 14:34:34 GMT 2021","16590","testproject.pytests","test_registration_pom","","","","test_reg_validators1",""
"passed","Sun Aug 01 14:33:30 GMT 2021","Sun Aug 01 14:33:52 GMT 2021","21958","testproject.pytests","test_login_validators","","","","test_login_validator3",""
"passed","Sun Aug 01 14:31:46 GMT 2021","Sun Aug 01 14:31:57 GMT 2021","11641","testproject.pytests","test_blog_post","","","","test_new_blog",""
