"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 06 15:53:21 GMT 2021","Mon Sep 06 15:53:52 GMT 2021","30502","testproject.pytests","test_blog_post","","","","test_mod_and_del_blog",""
"passed","Mon Sep 06 15:54:55 GMT 2021","Mon Sep 06 15:55:17 GMT 2021","22336","testproject.pytests","test_login_validators","","","","test_login_validator3",""
"passed","Mon Sep 06 15:54:33 GMT 2021","Mon Sep 06 15:54:43 GMT 2021","9897","testproject.pytests","test_login_validators","","","","test_login_validator1",""
"passed","Mon Sep 06 15:55:17 GMT 2021","Mon Sep 06 15:55:38 GMT 2021","20947","testproject.pytests","test_logout","","","","test_logout",""
"passed","Mon Sep 06 15:57:00 GMT 2021","Mon Sep 06 15:57:40 GMT 2021","39347","testproject.pytests","test_tag","","","","test_tags",""
"passed","Mon Sep 06 15:56:19 GMT 2021","Mon Sep 06 15:56:32 GMT 2021","12879","testproject.pytests","test_registration_pom","","","","test_reg_validators2",""
"passed","Mon Sep 06 15:57:40 GMT 2021","Mon Sep 06 15:58:02 GMT 2021","21959","testproject.pytests","test_user_profile","","","","test_user_profile",""
"passed","Mon Sep 06 15:56:32 GMT 2021","Mon Sep 06 15:57:00 GMT 2021","28106","testproject.pytests","test_registration_pom","","","","test_reg_validators3",""
"passed","Mon Sep 06 15:55:38 GMT 2021","Mon Sep 06 15:56:03 GMT 2021","24810","testproject.pytests","test_registration_pom","","","","test_registration",""
"passed","Mon Sep 06 15:53:53 GMT 2021","Mon Sep 06 15:54:05 GMT 2021","11870","testproject.pytests","test_cookie","TestCookie","","","test_cookie",""
"passed","Mon Sep 06 15:54:43 GMT 2021","Mon Sep 06 15:54:55 GMT 2021","11632","testproject.pytests","test_login_validators","","","","test_login_validator2",""
"passed","Mon Sep 06 15:56:03 GMT 2021","Mon Sep 06 15:56:19 GMT 2021","16768","testproject.pytests","test_registration_pom","","","","test_reg_validators1",""
"passed","Mon Sep 06 15:53:08 GMT 2021","Mon Sep 06 15:53:21 GMT 2021","13053","testproject.pytests","test_blog_post","","","","test_new_blog",""
"passed","Mon Sep 06 15:54:05 GMT 2021","Mon Sep 06 15:54:11 GMT 2021","6003","testproject.pytests","test_homepage","","","","test_homepage_without_login",""
"passed","Mon Sep 06 15:54:11 GMT 2021","Mon Sep 06 15:54:33 GMT 2021","21582","testproject.pytests","test_login","","","","test_successful_login",""
