"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 06 15:08:48 GMT 2021","Mon Sep 06 15:09:12 GMT 2021","24775","testproject.pytests","test_registration_pom","","","","test_registration",""
"passed","Mon Sep 06 15:07:03 GMT 2021","Mon Sep 06 15:07:15 GMT 2021","11824","testproject.pytests","test_cookie","TestCookie","","","test_cookie",""
"passed","Mon Sep 06 15:07:15 GMT 2021","Mon Sep 06 15:07:21 GMT 2021","5954","testproject.pytests","test_homepage","","","","test_homepage_without_login",""
"passed","Mon Sep 06 15:10:49 GMT 2021","Mon Sep 06 15:11:11 GMT 2021","21875","testproject.pytests","test_user_profile","","","","test_user_profile",""
"passed","Mon Sep 06 15:09:12 GMT 2021","Mon Sep 06 15:09:29 GMT 2021","16781","testproject.pytests","test_registration_pom","","","","test_reg_validators1",""
"passed","Mon Sep 06 15:09:42 GMT 2021","Mon Sep 06 15:10:10 GMT 2021","28048","testproject.pytests","test_registration_pom","","","","test_reg_validators3",""
"passed","Mon Sep 06 15:08:27 GMT 2021","Mon Sep 06 15:08:48 GMT 2021","20947","testproject.pytests","test_logout","","","","test_logout",""
"passed","Mon Sep 06 15:06:32 GMT 2021","Mon Sep 06 15:07:02 GMT 2021","30127","testproject.pytests","test_blog_post","","","","test_mod_and_del_blog",""
"passed","Mon Sep 06 15:07:21 GMT 2021","Mon Sep 06 15:07:43 GMT 2021","21535","testproject.pytests","test_login","","","","test_successful_login",""
"passed","Mon Sep 06 15:06:19 GMT 2021","Mon Sep 06 15:06:32 GMT 2021","13290","testproject.pytests","test_blog_post","","","","test_new_blog",""
"passed","Mon Sep 06 15:07:43 GMT 2021","Mon Sep 06 15:07:53 GMT 2021","9864","testproject.pytests","test_login_validators","","","","test_login_validator1",""
"passed","Mon Sep 06 15:08:04 GMT 2021","Mon Sep 06 15:08:27 GMT 2021","22223","testproject.pytests","test_login_validators","","","","test_login_validator3",""
"passed","Mon Sep 06 15:07:53 GMT 2021","Mon Sep 06 15:08:04 GMT 2021","11673","testproject.pytests","test_login_validators","","","","test_login_validator2",""
"passed","Mon Sep 06 15:09:29 GMT 2021","Mon Sep 06 15:09:42 GMT 2021","12917","testproject.pytests","test_registration_pom","","","","test_reg_validators2",""
"passed","Mon Sep 06 15:10:10 GMT 2021","Mon Sep 06 15:10:49 GMT 2021","38694","testproject.pytests","test_tag","","","","test_tags",""
