"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 03 13:24:49 GMT 2021","Tue Aug 03 13:25:10 GMT 2021","20890","testproject.pytests","test_logout","","","","test_logout",""
"passed","Tue Aug 03 13:23:18 GMT 2021","Tue Aug 03 13:23:38 GMT 2021","19890","testproject.pytests","test_cookie","TestCookie","","","test_cookie",""
"passed","Tue Aug 03 13:26:04 GMT 2021","Tue Aug 03 13:26:32 GMT 2021","28068","testproject.pytests","test_registration_pom","","","","test_reg_validators3",""
"passed","Tue Aug 03 13:25:10 GMT 2021","Tue Aug 03 13:25:35 GMT 2021","24780","testproject.pytests","test_registration_pom","","","","test_registration",""
"passed","Tue Aug 03 13:23:44 GMT 2021","Tue Aug 03 13:24:05 GMT 2021","21491","testproject.pytests","test_login","","","","test_successful_login",""
"passed","Tue Aug 03 13:24:27 GMT 2021","Tue Aug 03 13:24:49 GMT 2021","22244","testproject.pytests","test_login_validators","","","","test_login_validator3",""
"passed","Tue Aug 03 13:26:32 GMT 2021","Tue Aug 03 13:27:12 GMT 2021","39154","testproject.pytests","test_tag","","","","test_tags",""
"passed","Tue Aug 03 13:25:52 GMT 2021","Tue Aug 03 13:26:04 GMT 2021","12875","testproject.pytests","test_registration_pom","","","","test_reg_validators2",""
"passed","Tue Aug 03 13:27:12 GMT 2021","Tue Aug 03 13:27:34 GMT 2021","21933","testproject.pytests","test_user_profile","","","","test_user_profile",""
"passed","Tue Aug 03 13:22:34 GMT 2021","Tue Aug 03 13:22:46 GMT 2021","12232","testproject.pytests","test_blog_post","","","","test_new_blog",""
"passed","Tue Aug 03 13:24:05 GMT 2021","Tue Aug 03 13:24:15 GMT 2021","9887","testproject.pytests","test_login_validators","","","","test_login_validator1",""
"passed","Tue Aug 03 13:24:15 GMT 2021","Tue Aug 03 13:24:27 GMT 2021","11630","testproject.pytests","test_login_validators","","","","test_login_validator2",""
"passed","Tue Aug 03 13:22:46 GMT 2021","Tue Aug 03 13:23:16 GMT 2021","30208","testproject.pytests","test_blog_post","","","","test_mod_and_del_blog",""
"passed","Tue Aug 03 13:25:35 GMT 2021","Tue Aug 03 13:25:52 GMT 2021","16737","testproject.pytests","test_registration_pom","","","","test_reg_validators1",""
"passed","Tue Aug 03 13:23:38 GMT 2021","Tue Aug 03 13:23:44 GMT 2021","5946","testproject.pytests","test_homepage","","","","test_homepage_without_login",""
