"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 26 14:04:40 GMT 2021","Mon Jul 26 14:05:14 GMT 2021","33911","testproject.pytests","login_validators_test","","","","test_login_validator3",""
"passed","Mon Jul 26 14:05:36 GMT 2021","Mon Jul 26 14:05:51 GMT 2021","14380","testproject.pytests","test_cookie","TestCookie","","","test_cookie",""
"passed","Mon Jul 26 14:05:14 GMT 2021","Mon Jul 26 14:05:35 GMT 2021","20718","testproject.pytests","logout_test","","","","test_logout",""
"passed","Mon Jul 26 14:04:20 GMT 2021","Mon Jul 26 14:04:40 GMT 2021","20466","testproject.pytests","login_validators_test","","","","test_login_validator2",""
"passed","Mon Jul 26 14:03:36 GMT 2021","Mon Jul 26 14:04:04 GMT 2021","28052","testproject.pytests","login_test","","","","test_successful_login",""
"passed","Mon Jul 26 14:04:04 GMT 2021","Mon Jul 26 14:04:20 GMT 2021","15671","testproject.pytests","login_validators_test","","","","test_login_validator1",""
"passed","Mon Jul 26 14:06:15 GMT 2021","Mon Jul 26 14:06:32 GMT 2021","16575","testproject.pytests","test_registration_pom","","","","test_reg_validators1",""
"passed","Mon Jul 26 14:03:30 GMT 2021","Mon Jul 26 14:03:36 GMT 2021","5756","testproject.pytests","homepage_test","","","","test_homepage_without_login",""
"passed","Mon Jul 26 14:01:51 GMT 2021","Mon Jul 26 14:02:41 GMT 2021","49864","testproject.pytests","blog_post_test","","","","test_new_blog",""
"passed","Mon Jul 26 14:06:45 GMT 2021","Mon Jul 26 14:07:13 GMT 2021","27765","testproject.pytests","test_registration_pom","","","","test_reg_validators3",""
"passed","Mon Jul 26 14:06:32 GMT 2021","Mon Jul 26 14:06:45 GMT 2021","12817","testproject.pytests","test_registration_pom","","","","test_reg_validators2",""
"passed","Mon Jul 26 14:05:51 GMT 2021","Mon Jul 26 14:06:15 GMT 2021","24558","testproject.pytests","test_registration_pom","","","","test_registration",""
"broken","Mon Jul 26 14:02:41 GMT 2021","Mon Jul 26 14:03:30 GMT 2021","49020","testproject.pytests","blog_post_test","","","","test_mod_and_del_blog",""
