"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 06 14:41:58 GMT 2021","Mon Sep 06 14:42:23 GMT 2021","24728","testproject.pytests","test_registration_pom","","","","test_registration",""
"passed","Mon Sep 06 14:41:04 GMT 2021","Mon Sep 06 14:41:15 GMT 2021","11607","testproject.pytests","test_login_validators","","","","test_login_validator2",""
"passed","Mon Sep 06 14:40:33 GMT 2021","Mon Sep 06 14:40:54 GMT 2021","21453","testproject.pytests","test_login","","","","test_successful_login",""
"passed","Mon Sep 06 14:39:43 GMT 2021","Mon Sep 06 14:40:13 GMT 2021","30435","testproject.pytests","test_blog_post","","","","test_mod_and_del_blog",""
"passed","Mon Sep 06 14:41:38 GMT 2021","Mon Sep 06 14:41:58 GMT 2021","20856","testproject.pytests","test_logout","","","","test_logout",""
"broken","Mon Sep 06 14:40:15 GMT 2021","Mon Sep 06 14:40:26 GMT 2021","11815","testproject.pytests","test_cookie","TestCookie","","","test_cookie",""
"passed","Mon Sep 06 14:42:53 GMT 2021","Mon Sep 06 14:43:21 GMT 2021","28083","testproject.pytests","test_registration_pom","","","","test_reg_validators3",""
"passed","Mon Sep 06 14:39:30 GMT 2021","Mon Sep 06 14:39:43 GMT 2021","12179","testproject.pytests","test_blog_post","","","","test_new_blog",""
"passed","Mon Sep 06 14:43:57 GMT 2021","Mon Sep 06 14:44:19 GMT 2021","22214","testproject.pytests","test_user_profile","","","","test_user_profile",""
"passed","Mon Sep 06 14:41:15 GMT 2021","Mon Sep 06 14:41:38 GMT 2021","22135","testproject.pytests","test_login_validators","","","","test_login_validator3",""
"passed","Mon Sep 06 14:42:23 GMT 2021","Mon Sep 06 14:42:40 GMT 2021","16717","testproject.pytests","test_registration_pom","","","","test_reg_validators1",""
"passed","Mon Sep 06 14:40:27 GMT 2021","Mon Sep 06 14:40:33 GMT 2021","5943","testproject.pytests","test_homepage","","","","test_homepage_without_login",""
"broken","Mon Sep 06 14:43:21 GMT 2021","Mon Sep 06 14:43:57 GMT 2021","35921","testproject.pytests","test_tag","","","","test_tags",""
"passed","Mon Sep 06 14:42:40 GMT 2021","Mon Sep 06 14:42:53 GMT 2021","12862","testproject.pytests","test_registration_pom","","","","test_reg_validators2",""
"passed","Mon Sep 06 14:40:54 GMT 2021","Mon Sep 06 14:41:04 GMT 2021","9854","testproject.pytests","test_login_validators","","","","test_login_validator1",""
