"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 06 15:15:17 GMT 2021","Mon Sep 06 15:15:34 GMT 2021","16778","testproject.pytests","test_registration_pom","","","","test_reg_validators1",""
"passed","Mon Sep 06 15:15:47 GMT 2021","Mon Sep 06 15:16:15 GMT 2021","28002","testproject.pytests","test_registration_pom","","","","test_reg_validators3",""
"passed","Mon Sep 06 15:16:15 GMT 2021","Mon Sep 06 15:16:54 GMT 2021","39041","testproject.pytests","test_tag","","","","test_tags",""
"passed","Mon Sep 06 15:13:58 GMT 2021","Mon Sep 06 15:14:10 GMT 2021","11633","testproject.pytests","test_login_validators","","","","test_login_validator2",""
"passed","Mon Sep 06 15:14:32 GMT 2021","Mon Sep 06 15:14:53 GMT 2021","20881","testproject.pytests","test_logout","","","","test_logout",""
"broken","Mon Sep 06 15:13:09 GMT 2021","Mon Sep 06 15:13:21 GMT 2021","11839","testproject.pytests","test_cookie","TestCookie","","","test_cookie",""
"passed","Mon Sep 06 15:13:27 GMT 2021","Mon Sep 06 15:13:48 GMT 2021","21419","testproject.pytests","test_login","","","","test_successful_login",""
"passed","Mon Sep 06 15:13:48 GMT 2021","Mon Sep 06 15:13:58 GMT 2021","9829","testproject.pytests","test_login_validators","","","","test_login_validator1",""
"passed","Mon Sep 06 15:14:53 GMT 2021","Mon Sep 06 15:15:17 GMT 2021","24756","testproject.pytests","test_registration_pom","","","","test_registration",""
"passed","Mon Sep 06 15:12:37 GMT 2021","Mon Sep 06 15:13:07 GMT 2021","30499","testproject.pytests","test_blog_post","","","","test_mod_and_del_blog",""
"passed","Mon Sep 06 15:12:24 GMT 2021","Mon Sep 06 15:12:37 GMT 2021","12572","testproject.pytests","test_blog_post","","","","test_new_blog",""
"passed","Mon Sep 06 15:15:34 GMT 2021","Mon Sep 06 15:15:47 GMT 2021","12890","testproject.pytests","test_registration_pom","","","","test_reg_validators2",""
"passed","Mon Sep 06 15:14:10 GMT 2021","Mon Sep 06 15:14:32 GMT 2021","22109","testproject.pytests","test_login_validators","","","","test_login_validator3",""
"passed","Mon Sep 06 15:13:21 GMT 2021","Mon Sep 06 15:13:27 GMT 2021","5884","testproject.pytests","test_homepage","","","","test_homepage_without_login",""
"passed","Mon Sep 06 15:16:54 GMT 2021","Mon Sep 06 15:17:16 GMT 2021","21860","testproject.pytests","test_user_profile","","","","test_user_profile",""
