"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 31 19:38:42 GMT 2021","Sat Jul 31 19:39:10 GMT 2021","28177","testproject.pytests","test_registration_pom","","","","test_reg_validators3",""
"passed","Sat Jul 31 19:36:34 GMT 2021","Sat Jul 31 19:37:04 GMT 2021","30636","testproject.pytests","test_blog_post","","","","test_mod_and_del_blog",""
"passed","Sat Jul 31 19:38:12 GMT 2021","Sat Jul 31 19:38:29 GMT 2021","16787","testproject.pytests","test_registration_pom","","","","test_reg_validators1",""
"passed","Sat Jul 31 19:37:48 GMT 2021","Sat Jul 31 19:38:12 GMT 2021","24791","testproject.pytests","test_registration_pom","","","","test_registration",""
"passed","Sat Jul 31 19:38:29 GMT 2021","Sat Jul 31 19:38:42 GMT 2021","12894","testproject.pytests","test_registration_pom","","","","test_reg_validators2",""
"passed","Sat Jul 31 19:37:06 GMT 2021","Sat Jul 31 19:37:26 GMT 2021","19924","testproject.pytests","test_cookie","TestCookie","","","test_cookie",""
"passed","Sat Jul 31 19:35:26 GMT 2021","Sat Jul 31 19:36:01 GMT 2021","35317","testproject.pytests","login_validators_test","","","","test_login_validator3",""
"passed","Sat Jul 31 19:36:22 GMT 2021","Sat Jul 31 19:36:34 GMT 2021","11819","testproject.pytests","test_blog_post","","","","test_new_blog",""
"passed","Sat Jul 31 19:36:01 GMT 2021","Sat Jul 31 19:36:22 GMT 2021","20909","testproject.pytests","logout_test","","","","test_logout",""
"passed","Sat Jul 31 19:35:05 GMT 2021","Sat Jul 31 19:35:26 GMT 2021","20698","testproject.pytests","login_validators_test","","","","test_login_validator2",""
"passed","Sat Jul 31 19:34:43 GMT 2021","Sat Jul 31 19:34:49 GMT 2021","5945","testproject.pytests","homepage_test","","","","test_homepage_without_login",""
"passed","Sat Jul 31 19:34:49 GMT 2021","Sat Jul 31 19:35:05 GMT 2021","16376","testproject.pytests","login_validators_test","","","","test_login_validator1",""
"passed","Sat Jul 31 19:37:26 GMT 2021","Sat Jul 31 19:37:48 GMT 2021","21678","testproject.pytests","test_login","","","","test_successful_login",""
