"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Jun 25 15:36:13 GMT 2021","Fri Jun 25 15:36:13 GMT 2021","0","seleiumide-tests","test_4Alternatelogin","Test4Alternatelogin","","","test_loginwithnonexistinguser",""
"broken","Fri Jun 25 15:36:14 GMT 2021","Fri Jun 25 15:36:14 GMT 2021","0","seleiumide-tests","test_4Alternatelogin","Test4Alternatelogin","","","test_loginwithaninvalidpassword",""
"broken","Fri Jun 25 15:36:08 GMT 2021","Fri Jun 25 15:36:08 GMT 2021","0","seleiumide-tests","test_2Alternatereg","Test2Alternatereg","","","test_registrationwithemptyform",""
"broken","Fri Jun 25 15:36:06 GMT 2021","Fri Jun 25 15:36:06 GMT 2021","0","seleiumide-tests","test_2Alternatereg","Test2Alternatereg","","","test_registrationwithaninvalidemailaddress",""
"broken","Fri Jun 25 15:36:16 GMT 2021","Fri Jun 25 15:36:16 GMT 2021","0","seleiumide-tests","test_5Post","Test5Post","","","test_postwithemptyfields",""
"broken","Fri Jun 25 15:36:14 GMT 2021","Fri Jun 25 15:36:14 GMT 2021","0","seleiumide-tests","test_5Post","Test5Post","","","test_postwithallinputfieldsfilledin",""
"broken","Fri Jun 25 15:36:12 GMT 2021","Fri Jun 25 15:36:12 GMT 2021","0","seleiumide-tests","test_4Alternatelogin","Test4Alternatelogin","","","test_loginwithaninvalidemailaddress",""
"broken","Fri Jun 25 15:35:59 GMT 2021","Fri Jun 25 15:35:59 GMT 2021","0","seleiumide-tests","test_1Basereg","Test1Basereg","","","test_validregistration",""
"broken","Fri Jun 25 15:36:09 GMT 2021","Fri Jun 25 15:36:09 GMT 2021","0","seleiumide-tests","test_3Baselogin","Test3Baselogin","","","test_validlogin",""
"broken","Fri Jun 25 15:36:11 GMT 2021","Fri Jun 25 15:36:11 GMT 2021","0","seleiumide-tests","test_4Alternatelogin","Test4Alternatelogin","","","test_loginwithemptyform",""
"broken","Fri Jun 25 15:36:10 GMT 2021","Fri Jun 25 15:36:10 GMT 2021","0","seleiumide-tests","test_3Baselogin","Test3Baselogin","","","test_validloginjustlogin",""
"broken","Fri Jun 25 15:36:05 GMT 2021","Fri Jun 25 15:36:05 GMT 2021","0","seleiumide-tests","test_2Alternatereg","Test2Alternatereg","","","test_registrationwithanemailaddressalreadyregistered",""
