"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 30 16:53:05 GMT 2021","Fri Jul 30 16:53:18 GMT 2021","12898","testproject.pytests","test_registration_pom","","","","test_reg_validators2",""
"passed","Fri Jul 30 16:48:28 GMT 2021","Fri Jul 30 16:49:20 GMT 2021","51836","testproject.pytests","blog_post_test","","","","test_new_blog",""
"passed","Fri Jul 30 16:49:20 GMT 2021","Fri Jul 30 16:50:15 GMT 2021","55421","testproject.pytests","blog_post_test","","","","test_mod_and_del_blog",""
"passed","Fri Jul 30 16:50:49 GMT 2021","Fri Jul 30 16:51:05 GMT 2021","15856","testproject.pytests","login_validators_test","","","","test_login_validator1",""
"passed","Fri Jul 30 16:52:24 GMT 2021","Fri Jul 30 16:52:48 GMT 2021","24799","testproject.pytests","test_registration_pom","","","","test_registration",""
"passed","Fri Jul 30 16:52:48 GMT 2021","Fri Jul 30 16:53:05 GMT 2021","16736","testproject.pytests","test_registration_pom","","","","test_reg_validators1",""
"passed","Fri Jul 30 16:52:00 GMT 2021","Fri Jul 30 16:52:21 GMT 2021","20916","testproject.pytests","logout_test","","","","test_logout",""
"passed","Fri Jul 30 16:50:15 GMT 2021","Fri Jul 30 16:50:21 GMT 2021","6019","testproject.pytests","homepage_test","","","","test_homepage_without_login",""
"broken","Fri Jul 30 16:52:21 GMT 2021","Fri Jul 30 16:52:21 GMT 2021","0","testproject.pytests","test_cookie","TestCookie","","","test_cookie",""
"passed","Fri Jul 30 16:53:18 GMT 2021","Fri Jul 30 16:53:46 GMT 2021","28087","testproject.pytests","test_registration_pom","","","","test_reg_validators3",""
"passed","Fri Jul 30 16:51:05 GMT 2021","Fri Jul 30 16:51:26 GMT 2021","20632","testproject.pytests","login_validators_test","","","","test_login_validator2",""
"passed","Fri Jul 30 16:50:21 GMT 2021","Fri Jul 30 16:50:49 GMT 2021","28492","testproject.pytests","login_test","","","","test_successful_login",""
"passed","Fri Jul 30 16:51:26 GMT 2021","Fri Jul 30 16:52:00 GMT 2021","34284","testproject.pytests","login_validators_test","","","","test_login_validator3",""
