"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Jul 23 16:07:22 GMT 2021","Fri Jul 23 16:07:45 GMT 2021","23257","testproject.pytests","login_test","","","","test_successful_login",""
"passed","Fri Jul 23 16:10:14 GMT 2021","Fri Jul 23 16:10:42 GMT 2021","27912","testproject.pytests","test_registration","TestRegistration","","","test_reg_validators3",""
"passed","Fri Jul 23 16:09:41 GMT 2021","Fri Jul 23 16:09:57 GMT 2021","16764","testproject.pytests","test_registration","TestRegistration","","","test_reg_validators1",""
"passed","Fri Jul 23 16:09:18 GMT 2021","Fri Jul 23 16:09:40 GMT 2021","21660","testproject.pytests","test_registration","TestRegistration","","","test_registration",""
"passed","Fri Jul 23 16:08:56 GMT 2021","Fri Jul 23 16:09:17 GMT 2021","20892","testproject.pytests","logout_test","","","","test_logout",""
"passed","Fri Jul 23 16:09:59 GMT 2021","Fri Jul 23 16:10:12 GMT 2021","12970","testproject.pytests","test_registration","TestRegistration","","","test_reg_validators2",""
"passed","Fri Jul 23 16:08:01 GMT 2021","Fri Jul 23 16:08:22 GMT 2021","20575","testproject.pytests","login_validators_test","","","","test_login_validator2",""
"broken","Fri Jul 23 16:06:26 GMT 2021","Fri Jul 23 16:07:16 GMT 2021","49605","testproject.pytests","blog_post_test","","","","test_mod_and_del_blog",""
"passed","Fri Jul 23 16:08:22 GMT 2021","Fri Jul 23 16:08:56 GMT 2021","34197","testproject.pytests","login_validators_test","","","","test_login_validator3",""
"passed","Fri Jul 23 16:07:45 GMT 2021","Fri Jul 23 16:08:01 GMT 2021","16000","testproject.pytests","login_validators_test","","","","test_login_validator1",""
"passed","Fri Jul 23 16:07:16 GMT 2021","Fri Jul 23 16:07:22 GMT 2021","5941","testproject.pytests","homepage_test","","","","test_homepage_without_login",""
"passed","Fri Jul 23 16:05:33 GMT 2021","Fri Jul 23 16:06:26 GMT 2021","52755","testproject.pytests","blog_post_test","","","","test_new_blog",""
